onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	stim_started_1	stim_stopped_1	key_time_1	key_fix_1
488.35	4	Aircraft1_70%_17.jpg	0	0.75	488.35	492.097	489.549	0	488.35	492.097	489.549	0
492.346	4	Aircraft2_70%_42.jpg	1	0.75	492.346	496.1	493.802	1	492.346	496.1	493.802	1
496.358	4	Aircraft2_70%_44.jpg	1	0.75	496.358	500.108	497.122	1	496.358	500.108	497.122	1
500.358	4	Aircraft1_70%_10.jpg	0	0.75	500.358	504.104	501.292	0	500.358	504.104	501.292	0
504.353	4	Aircraft2_70%_25.jpg	1	0.75	504.353	508.1	505.448	1	504.353	508.1	505.448	1
508.348	4	rest.jpg	NaN	NaN	508.348	512.097	512.348	NaN	508.348	512.097	512.348	NaN
512.329	4	rest.jpg	NaN	NaN	512.329	516.082	516.329	NaN	512.329	516.082	516.329	NaN
516.315	4	rest.jpg	NaN	NaN	516.315	520.065	520.315	NaN	516.315	520.065	520.315	NaN
520.333	4	Aircraft1_10%_38.jpg	0	0.1	520.333	524.083	521.786	0	520.333	524.083	521.786	0
524.337	4	Aircraft2_10%_21.jpg	1	0.1	524.337	528.089	525.188	1	524.337	528.089	525.188	1
528.359	4	Aircraft1_10%_16.jpg	0	0.1	528.359	532.106	529.181	0	528.359	532.106	529.181	0
532.357	4	Aircraft1_10%_46.jpg	0	0.1	532.357	536.106	533.245	0	532.357	536.106	533.245	0
536.371	4	Aircraft2_10%_40.jpg	1	0.1	536.371	540.117	537.232	1	536.371	540.117	537.232	1
540.381	4	rest.jpg	NaN	NaN	540.381	544.128	544.381	NaN	540.381	544.128	544.381	NaN
544.36	4	rest.jpg	NaN	NaN	544.36	548.114	548.36	NaN	544.36	548.114	548.36	NaN
548.349	4	rest.jpg	NaN	NaN	548.349	552.097	552.349	NaN	548.349	552.097	552.349	NaN
552.36	4	Aircraft2_90%_4.jpg	1	0.9	552.36	556.113	553.382	1	552.36	556.113	553.382	1
556.378	4	Aircraft1_90%_43.jpg	0	0.9	556.378	560.133	557.377	0	556.378	560.133	557.377	0
560.382	4	Aircraft1_90%_9.jpg	0	0.9	560.382	564.134	561.176	0	560.382	564.134	561.176	0
564.393	4	Aircraft1_90%_11.jpg	0	0.9	564.393	568.147	565.548	0	564.393	568.147	565.548	0
568.409	4	Aircraft1_90%_50.jpg	0	0.9	568.409	572.161	569.392	0	568.409	572.161	569.392	0
572.411	4	rest.jpg	NaN	NaN	572.411	576.163	576.411	NaN	572.411	576.163	576.411	NaN
576.403	4	rest.jpg	NaN	NaN	576.403	580.15	580.403	NaN	576.403	580.15	580.403	NaN
580.382	4	rest.jpg	NaN	NaN	580.382	584.129	584.382	NaN	580.382	584.129	584.382	NaN
584.382	4	Aircraft1_70%_12.jpg	0	0.75	584.382	588.131	585.415	0	584.382	588.131	585.415	0
588.393	4	Aircraft2_70%_32.jpg	1	0.75	588.393	592.143	589.073	1	588.393	592.143	589.073	1
592.406	4	Aircraft2_70%_48.jpg	1	0.75	592.406	596.158	593.495	1	592.406	596.158	593.495	1
596.408	4	Aircraft1_70%_19.jpg	0	0.75	596.408	600.158	597.282	0	596.408	600.158	597.282	0
600.408	4	Aircraft1_70%_33.jpg	0	0.75	600.408	604.158	601.106	0	600.408	604.158	601.106	0
604.414	4	rest.jpg	NaN	NaN	604.414	608.161	608.414	NaN	604.414	608.161	608.414	NaN
608.395	4	rest.jpg	NaN	NaN	608.395	612.147	612.395	NaN	608.395	612.147	612.395	NaN
612.39	4	rest.jpg	NaN	NaN	612.39	616.14	616.39	NaN	612.39	616.14	616.39	NaN
616.407	4	Aircraft2_10%_23.jpg	1	0.1	616.407	620.161	617.239	1	616.407	620.161	617.239	1
620.412	4	Aircraft1_10%_28.jpg	0	0.1	620.412	624.16	621.278	0	620.412	624.16	621.278	0
624.411	4	Aircraft2_10%_13.jpg	1	0.1	624.411	628.163	625.38	1	624.411	628.163	625.38	1
628.418	4	Aircraft1_10%_45.jpg	0	0.1	628.418	632.165	629.242	0	628.418	632.165	629.242	0
632.416	4	Aircraft1_10%_37.jpg	0	0.1	632.416	636.166	633.555	0	632.416	636.166	633.555	0
636.416	4	rest.jpg	NaN	NaN	636.416	640.168	640.416	NaN	636.416	640.168	640.416	NaN
640.417	4	rest.jpg	NaN	NaN	640.417	644.17	644.417	NaN	640.417	644.17	644.417	NaN
644.408	4	rest.jpg	NaN	NaN	644.408	648.154	648.408	NaN	644.408	648.154	648.408	NaN
648.401	4	Aircraft2_90%_33.jpg	1	0.9	648.401	652.15	649.691	1	648.401	652.15	649.691	1
652.397	4	Aircraft2_90%_38.jpg	1	0.9	652.397	656.146	653.005	1	652.397	656.146	653.005	1
656.403	4	Aircraft1_90%_30.jpg	0	0.9	656.403	660.15	657.057	0	656.403	660.15	657.057	0
660.398	4	Aircraft1_90%_41.jpg	0	0.9	660.398	664.152	661.264	0	660.398	664.152	661.264	0
664.401	4	Aircraft1_90%_18.jpg	0	0.9	664.401	668.15	665.493	0	664.401	668.15	665.493	0
668.404	4	rest.jpg	NaN	NaN	668.404	672.151	672.404	NaN	668.404	672.151	672.404	NaN
672.398	4	rest.jpg	NaN	NaN	672.398	676.146	676.398	NaN	672.398	676.146	676.398	NaN
676.381	4	rest.jpg	NaN	NaN	676.381	680.135	680.381	NaN	676.381	680.135	680.381	NaN
680.385	4	Aircraft2_70%_9.jpg	1	0.75	680.385	684.136	681.451	1	680.385	684.136	681.451	1
684.392	4	Aircraft2_70%_6.jpg	1	0.75	684.392	688.145	685.084	1	684.392	688.145	685.084	1
688.407	4	Aircraft1_70%_23.jpg	0	0.75	688.407	692.161	689.124	0	688.407	692.161	689.124	0
692.424	4	Aircraft1_70%_21.jpg	0	0.75	692.424	696.172	693.597	0	692.424	696.172	693.597	0
696.426	4	Aircraft2_70%_36.jpg	1	0.75	696.426	700.178	697.26	1	696.426	700.178	697.26	1
700.439	4	rest.jpg	NaN	NaN	700.439	704.193	704.439	NaN	700.439	704.193	704.439	NaN
704.431	4	rest.jpg	NaN	NaN	704.431	708.184	708.431	NaN	704.431	708.184	708.431	NaN
708.418	4	rest.jpg	NaN	NaN	708.418	712.171	712.418	NaN	708.418	712.171	712.418	NaN
712.422	4	Aircraft2_10%_41.jpg	1	0.1	712.422	716.174	713.152	1	712.422	716.174	713.152	1
716.426	4	Aircraft1_10%_22.jpg	0	0.1	716.426	720.175	717.182	0	716.426	720.175	717.182	0
720.424	4	Aircraft1_10%_44.jpg	0	0.1	720.424	724.173	721.149	0	720.424	724.173	721.149	0
724.424	4	Aircraft1_10%_1.jpg	0	0.1	724.424	728.178	725.279	0	724.424	728.178	725.279	0
728.428	4	Aircraft2_10%_37.jpg	1	0.1	728.428	732.175	729.348	1	728.428	732.175	729.348	1
732.445	4	rest.jpg	NaN	NaN	732.445	736.193	736.445	NaN	732.445	736.193	736.445	NaN
736.426	4	rest.jpg	NaN	NaN	736.426	740.175	740.426	NaN	736.426	740.175	740.426	NaN
740.414	4	rest.jpg	NaN	NaN	740.414	744.168	744.414	NaN	740.414	744.168	744.414	NaN
744.422	4	Aircraft2_90%_31.jpg	1	0.9	744.422	748.172	745.439	1	744.422	748.172	745.439	1
748.421	4	Aircraft1_90%_4.jpg	0	0.9	748.421	752.175	749.242	0	748.421	752.175	749.242	0
752.424	4	Aircraft2_90%_20.jpg	1	0.9	752.424	756.177	753.253	1	752.424	756.177	753.253	1
756.424	4	Aircraft1_90%_7.jpg	0	0.9	756.424	760.177	757.123	0	756.424	760.177	757.123	0
760.435	4	Aircraft1_90%_8.jpg	0	0.9	760.435	764.182	761.189	0	760.435	764.182	761.189	0
764.452	4	rest.jpg	NaN	NaN	764.452	768.199	768.452	NaN	764.452	768.199	768.452	NaN
768.433	4	rest.jpg	NaN	NaN	768.433	772.187	772.433	NaN	768.433	772.187	772.433	NaN
772.424	4	rest.jpg	NaN	NaN	772.424	776.173	776.424	NaN	772.424	776.173	776.424	NaN
776.432	4	Aircraft2_70%_14.jpg	1	0.75	776.432	780.186	777.13	1	776.432	780.186	777.13	1
780.445	4	Aircraft2_70%_5.jpg	1	0.75	780.445	784.194	781.197	1	780.445	784.194	781.197	1
784.444	4	Aircraft2_70%_15.jpg	1	0.75	784.444	788.193	785.137	1	784.444	788.193	785.137	1
788.442	4	Aircraft2_70%_19.jpg	1	0.75	788.442	792.188	789.13	1	788.442	792.188	789.13	1
792.445	4	Aircraft1_70%_31.jpg	0	0.75	792.445	796.192	793.182	0	792.445	796.192	793.182	0
796.44	4	rest.jpg	NaN	NaN	796.44	800.187	800.44	NaN	796.44	800.187	800.44	NaN
800.419	4	rest.jpg	NaN	NaN	800.419	804.168	804.419	NaN	800.419	804.168	804.419	NaN
804.402	4	rest.jpg	NaN	NaN	804.402	808.151	808.402	NaN	804.402	808.151	808.402	NaN
808.401	4	Aircraft2_10%_9.jpg	1	0.1	808.401	812.153	809.189	1	808.401	812.153	809.189	1
812.404	4	Aircraft2_10%_6.jpg	1	0.1	812.404	816.151	813.841	1	812.404	816.151	813.841	1
816.414	4	Aircraft1_10%_23.jpg	0	0.1	816.414	820.166	817.072	0	816.414	820.166	817.072	0
820.417	4	Aircraft1_10%_21.jpg	0	0.1	820.417	824.173	821.296	0	820.417	824.173	821.296	0
824.432	4	Aircraft2_10%_36.jpg	1	0.1	824.432	828.186	825.44	1	824.432	828.186	825.44	1
828.438	4	rest.jpg	NaN	NaN	828.438	832.188	832.438	NaN	828.438	832.188	832.438	NaN
832.421	4	rest.jpg	NaN	NaN	832.421	836.174	836.421	NaN	832.421	836.174	836.421	NaN
836.413	4	rest.jpg	NaN	NaN	836.413	840.163	840.413	NaN	836.413	840.163	840.413	NaN
840.41	4	Aircraft2_90%_24.jpg	1	0.9	840.41	844.157	841.429	1	840.41	844.157	841.429	1
844.426	4	Aircraft2_90%_2.jpg	1	0.9	844.426	848.179	845.998	1	844.426	848.179	845.998	1
848.428	4	Aircraft2_90%_43.jpg	1	0.9	848.428	852.182	849.457	1	848.428	852.182	849.457	1
852.441	4	Aircraft2_90%_46.jpg	1	0.9	852.441	856.19	853.261	1	852.441	856.19	853.261	1
856.458	4	Aircraft1_90%_42.jpg	0	0.9	856.458	860.207	858.397	0	856.458	860.207	858.397	0
860.474	4	rest.jpg	NaN	NaN	860.474	864.226	864.474	NaN	860.474	864.226	864.474	NaN
864.459	4	rest.jpg	NaN	NaN	864.459	868.211	868.459	NaN	864.459	868.211	868.459	NaN
868.45	4	rest.jpg	NaN	NaN	868.45	872.199	872.45	NaN	868.45	872.199	872.45	NaN
872.447	4	Aircraft1_70%_3.jpg	0	0.75	872.447	876.194	873.427	0	872.447	876.194	873.427	0
876.461	4	Aircraft2_70%_28.jpg	1	0.75	876.461	880.214	877.864	1	876.461	880.214	877.864	1
880.464	4	Aircraft1_70%_24.jpg	0	0.75	880.464	884.213	881.768	0	880.464	884.213	881.768	0
884.462	4	Aircraft2_70%_39.jpg	1	0.75	884.462	888.214	886.428	1	884.462	888.214	886.428	1
888.467	4	Aircraft2_70%_8.jpg	1	0.75	888.467	892.216	890.512	1	888.467	892.216	890.512	1
892.481	4	rest.jpg	NaN	NaN	892.481	896.23	896.481	NaN	892.481	896.23	896.481	NaN
896.464	4	rest.jpg	NaN	NaN	896.464	900.218	900.464	NaN	896.464	900.218	900.464	NaN
900.46	4	rest.jpg	NaN	NaN	900.46	904.206	904.46	NaN	900.46	904.206	904.46	NaN
904.454	4	Aircraft1_10%_12.jpg	0	0.1	904.454	908.206	905.415	0	904.454	908.206	905.415	0
908.454	4	Aircraft2_10%_32.jpg	1	0.1	908.454	912.202	909.312	1	908.454	912.202	909.312	1
912.451	4	Aircraft2_10%_48.jpg	1	0.1	912.451	916.198	913.476	1	912.451	916.198	913.476	1
916.459	4	Aircraft1_10%_19.jpg	0	0.1	916.459	920.206	917.018	0	916.459	920.206	917.018	0
920.456	4	Aircraft1_10%_33.jpg	0	0.1	920.456	924.208	921.951	0	920.456	924.208	921.951	0
924.47	4	rest.jpg	NaN	NaN	924.47	928.223	928.47	NaN	924.47	928.223	928.47	NaN
928.457	4	rest.jpg	NaN	NaN	928.457	932.206	932.457	NaN	928.457	932.206	932.457	NaN
932.44	4	rest.jpg	NaN	NaN	932.44	936.193	936.44	NaN	932.44	936.193	936.44	NaN
936.442	4	Aircraft1_90%_17.jpg	0	0.9	936.442	940.189	937.697	0	936.442	940.189	937.697	0
940.437	4	Aircraft2_90%_42.jpg	1	0.9	940.437	944.186	941.276	1	940.437	944.186	941.276	1
944.445	4	Aircraft2_90%_44.jpg	1	0.9	944.445	948.197	945.173	1	944.445	948.197	945.173	1
948.463	4	Aircraft1_90%_10.jpg	0	0.9	948.463	952.21	949.2	0	948.463	952.21	949.2	0
952.463	4	Aircraft2_90%_25.jpg	1	0.9	952.463	956.218	953.424	1	952.463	956.218	953.424	1
956.468	4	rest.jpg	NaN	NaN	956.468	960.215	960.468	NaN	956.468	960.215	960.468	NaN
960.448	4	rest.jpg	NaN	NaN	960.448	964.197	964.448	NaN	960.448	964.197	964.448	NaN
964.43	4	rest.jpg	NaN	NaN	964.43	968.182	968.43	NaN	964.43	968.182	968.43	NaN
968.432	4	Aircraft1_70%_25.jpg	0	0.75	968.432	972.179	969.421	0	968.432	972.179	969.421	0
972.44	4	Aircraft2_70%_49.jpg	1	0.75	972.44	976.186	973.246	1	972.44	976.186	973.246	1
976.435	4	Aircraft2_70%_10.jpg	1	0.75	976.435	980.188	977.784	1	976.435	980.188	977.784	1
980.438	4	Aircraft2_70%_12.jpg	1	0.75	980.438	984.188	981.46	1	980.438	984.188	981.46	1
984.443	4	Aircraft2_70%_7.jpg	1	0.75	984.443	988.197	985.353	1	984.443	988.197	985.353	1
988.447	4	rest.jpg	NaN	NaN	988.447	992.199	992.447	NaN	988.447	992.199	992.447	NaN
992.433	4	rest.jpg	NaN	NaN	992.433	996.182	996.433	NaN	992.433	996.182	996.433	NaN
996.416	4	rest.jpg	NaN	NaN	996.416	1000.163	1000.416	NaN	996.416	1000.163	1000.416	NaN
